NAME,ID_RSSD,AsOfDate,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKG506,RISKM422,RISKM426,RISKN255,RISKY832,RISIG506,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISOG506,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832
"CREDIT SUISSE HOLDINGS (USA), INC.",1574834,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2201147,981577,100516,840742,6678336094,4873203,17859133,23666864,11990000,104801,1773711,34408643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"BNP PARIBAS USA, INC.",1575569,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65774,15281872,14796435,0,12501221549,9144898,48497436,74160413,23092000,4588721,2922184,97252684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CIBC BANCORP USA INC.,5014141,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17113,12656482,9360688,8159687,530471882,59836032,13838291,16684721,3262000,1877997,68047,81028807,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DB USA CORPORATION,2816906,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,403000,34499000,10354000,32000,62528465000,73314000,62360000,27177000,52058000,11246000,2974000,145353700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"SANTANDER HOLDINGS USA, INC.",3981856,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1231654,9761552,16773131,49098595,396109114,0,41156449,93331395,3260183,8112480,3126037,141919706,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RBC US GROUP HOLDINGS LLC,5280254,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,141651,20730195,20484425,7924814,8892659730,571949162,111769022,62752138,10032000,7122506,7425453,195229032,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
UBS AMERICAS HOLDING LLC,4846998,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2118800,13595339,41976455,556052,725075365,1942799733,13619467,72788841,17834000,14082122,3053455,217541953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BARCLAYS US LLC,5006575,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,946000,11288000,1980000,15350000,42707701000,47114000,93065000,416787000,62450000,21143000,9253000,278869400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HSBC NORTH AMERICA HOLDINGS INC.,3232316,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,351015,38270782,29859822,35969496,48147028486,617885133,50196606,4266344965,33941000,0,10327665,293669154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BMO FINANCIAL CORP.,1245415,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,723481,56143339,34702223,52922616,8969422919,404252317,39206166,193875290,9275000,6793000,3771423,344019554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
