ï»¿Name (Legal),DT,ID_RSSD,RISKG506,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKM422,RISKM426,RISKN255,RISKY832,RISIG506,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISOG506,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832,,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN STANLEY,20211231,2162966,12688000,230906000,53626000,429085000,15120752000,3826938000,481754000,31034042000,375133000,310050000,117777000,1501296300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL ONE FINANCIAL CORPORATION,20211231,2277860,391060,46391781,5595494,110212750,1148657137,7,7023704,197566522,10457000,987346,12640614,501087620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GOLDMAN SACHS GROUP, INC., THE",20211231,2380443,24775000,274762000,105667000,513041000,14741632000,1654189000,473468000,39778117000,687279000,533548000,146837000,1915103600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB USA CORPORATION,20211231,2816906,,,,,,,,,,,,,179000,28128000,15925000,17000,56201345000,83588000,126982000,31549000,36904000,15334000,4931000,148942800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MITSUBISHI UFJ FINANCIAL GROUP, INC.",20211231,2961897,,,,,,,,,,,,,,,,,,,,,,,,,3847149,50447322,27593246,87467194,10438524138,303440767,68835442,991792984,73835364,30118513,28508307,452274189,,,,,,,,,,,,,,,,,,,,,,,,,
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",20211231,3133262,,,,,,,,,,,,,,,,,,,,,,,,,1107698,78168585,11108864,72562628,7127660483,0,41308544,3383211891,87027680,25157022,3586212,318264921,,,,,,,,,,,,,,,,,,,,,,,,,
"MIZUHO FINANCIAL GROUP, INC.",20211231,3185355,,,,,,,,,,,,,,,,,,,,,,,,,28664,36237657,134652531,37995521,52567655825,329623119,81611851,6522050851,150959142,22131058,9928205,393551710,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC NORTH AMERICA HOLDINGS INC.,20211231,3232316,,,,,,,,,,,,,361714,45447160,33516884,23588573,46902620114,660959180,38444685,3568581807,28842000,0,24634565,316461761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONS FINANCIAL CORPORATION,20211231,3242838,523000,7112000,3967000,28268000,626041000,31347000,7138000,136754000,1224000,951000,5197000,191454600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BANK OF NEW YORK MELLON CORPORATION, THE",20211231,3587146,0,79438000,300770000,77650000,233996477000,36923000000,23751000,1118258000,127408000,192476000,46736000,478666100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD GROUP US HOLDINGS LLC,20211231,3606542,,,,,,,,,,,,,47939,17850631,6581206,7235147,9680010174,8850834,66184479,326302222,57259000,12782110,65730294,565264869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCOVER FINANCIAL SERVICES,20211231,3846375,0,11437999,1266,74671182,508489494,0,0,6461240,55000,18000,3064933,132404966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
